6.200	13.120
10.930	14.890
12.750	16.150
16.140	17.020
13.750	18.320
17.870	21.980
22.980	25.520
24.180	27.120
26.340	29.050
29.260	31.560
37.220	40.070
40.660	41.380
39.560	42.050
45.360	47.710
48.570	51.980
49.530	52.120
57.550	61.280
71.090	71.580
76.630	80.780
84.380	86.840
85.620	88.320
89.980	92.090
97.620	98.600
101.460	101.730
103.590	104.590
103.940	109.890
105.840	110.940
108.990	114.940
117.130	119.120
128.460	130.460
130.620	132.140
137.300	140.270
138.310	142.090
143.760	145.590
146.410	149.700
146.460	151.320
150.700	153.720
152.400	156.130
158.210	160.290
161.890	163.040
164.160	166.510
170.900	171.550
171.830	173.740
173.140	174.980
179.950	182.850
180.660	187.950
183.450	189.680
184.360	190.520
195.790	196.960
201.210	204.130
203.190	204.630
203.470	208.300
204.760	208.630
207.120	213.670
216.120	218.870
219.170	220.660
216.500	220.850
225.900	227.420
223.260	227.900
234.110	234.270
231.520	237.210
245.180	249.970
248.260	252.670
251.210	253.790
253.170	256.790
256.190	257.400
257.810	258.630
261.810	262.810
260.670	263.940
263.200	269.100
262.510	270.210
266.360	271.850
269.920	273.060
272.080	275.820
272.390	276.610
277.110	279.700
284.090	284.950
292.650	296.790
298.810	301.300
306.420	308.780
314.970	319.630
317.560	321.760
319.210	324.740
323.280	329.670
329.910	333.170
324.350	333.660
336.220	337.110
343.730	345.180
346.700	349.170
356.670	358.880
359.560	361.670
361.560	363.050
365.160	366.340
383.790	384.840
392.080	393.000
397.340	401.120
397.630	405.820
400.790	407.570
403.010	407.930
406.330	408.040
412.550	414.070
413.480	416.170
417.860	419.710
419.110	421.200
418.280	421.950
424.390	426.230
425.740	427.240
431.730	434.350
432.260	435.970
436.250	438.910
431.380	439.250
439.240	440.240
436.400	440.520
447.270	449.370
449.820	452.260
453.620	455.550
453.710	456.070
460.180	460.620
457.070	462.950
464.690	465.370
463.040	465.970
466.230	467.000
479.480	481.100
479.360	481.980
479.550	484.580
491.050	492.870
490.370	493.350
491.490	493.820
492.280	493.980
497.660	499.350
506.950	507.640
506.870	509.760
509.160	510.970
508.800	513.380
510.160	515.360
510.990	515.940
514.460	516.490
515.900	517.140
516.560	518.970
518.890	521.730
519.020	522.810
519.370	524.540
534.180	534.840
534.920	537.120
536.400	538.780
540.780	543.700
546.850	548.610
555.830	557.710
559.550	561.690
555.210	564.210
570.880	572.230
571.080	573.940
574.840	575.800
581.060	582.190
583.420	584.640
582.460	586.650
586.450	588.150
589.040	591.250
591.170	592.800
592.930	594.620
588.400	595.800
598.110	599.220
595.740	600.360
599.350	601.920
600.820	604.790
606.880	607.810
607.840	613.470
610.580	613.770
610.620	616.340
616.490	617.680
615.130	619.110
616.650	619.280
618.670	620.540
617.750	621.410
628.870	629.910
630.320	632.370
632.930	633.490
631.450	634.030
642.720	645.130
646.070	650.010
649.300	652.490
653.490	657.190
655.130	657.970
656.910	660.540
660.420	665.330
660.430	666.760
663.410	667.660
661.140	671.190
666.790	671.570
662.500	673.070
668.380	673.240
675.320	679.610
678.120	680.280
679.900	683.080
681.620	683.680
685.650	687.130
687.460	691.390
691.080	693.300
691.240	695.120
694.200	695.780
694.770	696.600
693.200	698.000
697.270	699.600
702.250	703.400
699.500	704.470
706.940	708.580
714.120	716.260
716.390	717.950
717.640	720.030
719.740	721.410
725.260	728.280
732.190	733.340
737.770	739.390
738.460	741.690
763.300	769.110
766.640	772.610
771.240	775.370
766.930	775.410
785.670	785.970
787.380	789.420
792.430	793.560
793.230	794.560
791.160	794.770
797.450	800.900
797.440	801.130
803.220	804.110
806.070	807.880
